"4 digits (matches the Figma component — pair with 3 max attempts)","4 digits (matches the Figma component — pair with 3 max attempts)"
"5 digits","5 digits"
"6 digits (recommended)","6 digits (recommended)"
"7 digits","7 digits"
"8 digits","8 digits"
"A daily cron deletes spent OTP rows older than this. Every row holds a phone number, so a short ledger is a data-retention requirement, not housekeeping.","A daily cron deletes spent OTP rows older than this. Every row holds a phone number, so a short ledger is a data-retention requirement, not housekeeping."
"Account Creation","Account Creation"
"After this many wrong entries the code is revoked and the shopper must request a new one.","After this many wrong entries the code is revoked and the shopper must request a new one."
"Already have an account? Sign in","Already have an account? Sign in"
"Already have an account?","Already have an account?"
"An account already exists for this phone number or email. Please sign in instead.","An account already exists for this phone number or email. Please sign in instead."
"An account already exists for this phone number. Please sign in instead.","An account already exists for this phone number. Please sign in instead."
"Applied when a shopper types a local number with no country code. 20 = Egypt.","Applied when a shopper types a local number with no country code. 20 = Egypt."
"Attempts remaining: %1","Attempts remaining: %1"
"Back to sign in","Back to sign in"
"Choose a new password","Choose a new password"
"Close","Close"
"Code Length","Code Length"
"Code Lifetime (seconds)","Code Lifetime (seconds)"
"Coming soon","Coming soon"
"Complete your personal details so you can continue shopping and add products to your cart.","Complete your personal details so you can continue shopping and add products to your cart."
"Complete your personal details","Complete your personal details"
"Complete your profile","Complete your profile"
"Confirm new password","Confirm new password"
"Confirm password","Confirm password"
"Connection lost. Please check your network and try again.","Connection lost. Please check your network and try again."
"Continue with Google","Continue with Google"
"Could not resend the code.","Could not resend the code."
"Create a new account now so you can save items in your cart and shop with ease.","Create a new account now so you can save items in your cart and shop with ease."
"Create a new account","Create a new account"
"Create account","Create account"
"Default Country Calling Code","Default Country Calling Code"
"Digit %1","Digit %1"
"Don't have an account? Sign up","Don't have an account? Sign up"
"Don't have an account?","Don't have an account?"
"Enter OTP","Enter OTP"
"Enter the %1-digit code sent to","Enter the %1-digit code sent to"
"Enter your phone number and we will send you a verification code.","Enter your phone number and we will send you a verification code."
"First name","First name"
"Forgot your password?","Forgot your password?"
"Gateway","Gateway"
